,2020,2021,2022,2023,2024,AAGR*
Fuelwood,"4,421","4,439","4,449","4,450","4,459",-0.4%
Charcoal,"1,364","1,420","1,476","1,531","1,592",3.7%
Agriwaste,836,837,831,824,819,-1.9%
Bagasse,877,959,908,947,961,5.9%
Ricehull,43,44,44,44,44,-2.1%
Animal Waste,16,17,17,17,17,-1.9%
Municipal Waste,5,4,7,5,7,-9.8%
Total,"7,563","7,721","7,731","7,819","7,899",0.7%
