Country,2014,2015,2016,2017,2018,2019
China,"4,318","2,574","6,121","5,333","4,610","9,012"
India (a),51,-,44,148,51,51
Hongkong (b),252,-,-,-,-,-
Thailand (c),288,300,208,98,51,213
Taiwan (d),73,-,-,177,-,65
S. Korea,193,-,-,-,-,-
Others*** (e),203,22,-,-,-,-
Total,"5,377","2,896","6,373","5,755","4,713","9,341"
