,2014,2015,2016,2017,2018,2019
Households,"20,969","22,747","25,631","26,782","28,261","30,552"
Services,"18,761","20,085","21,770","22,768","24,016","25,476"
Industrial,"21,429","22,514","24,117","25,573","27,587","28,194"
Others*,"2,186","2,462","2,634","2,670","2,753","2,897"
Utilities Own Use,"6,646","7,124","8,357","8,316","8,141","8,929"
Power Losses,"7,270","7,481","8,288","8,262","9,007","9,994"
Total,"77,261","82,413","90,798","94,370","99,765","106,041"
