,2014,2015,2016,2017,2018,2019
Total Installed Capacity,"17,944","18,765","21,423","22,728","23,815","25,531"
Coal,"5,708","5,963","7,419","8,049","8,844","10,417"
Oil,"3,476","3,610","3,616","4,153","4,292","4,262"
Natural Gas,"2,862","2,862","3,431","3,447","3,453","3,453"
Renewable Energy,"5,898","6,330","6,958","7,079","7,227","7,399"
Geothermal,"1,918","1,917","1,916","1,916","1,944","1,928"
Hydro,"3,543","3,600","3,618","3,627","3,701","3,760"
Wind,283,427,427,427,427,427
Solar (a),23,165,765,885,896,921
Biomass,131,221,233,224,258,363
