,2014,2015,2016,2017,2018,2019
Semirara,"7,345","7,168","11,084","11,839","11,654","13,670"
Zamboanga,15,5,0,-,-,-
Cebu,44,29,35,13,7,6
"Albay, Bicol",21,28,16,12,13,9
Surigao del Sur (a),50,28,21,23,26,-
Negros (b),-,-,-,0.49,0.14,0.68
Small-scale Mines,127,119,54,44,55,65
Total Production,"7,601","7,378","11,211","11,932","11,755","13,751"
Run of Mine (MMT),"8,419","8,173","12,087","13,264","13,054","15,274"
