nan,nan_1,nan_2,nan_3,nan_4,nan_1_numeric,nan_1_unit,nan_3_numeric,nan_3_unit,source_pdf,detected_category
,Coal 12.3%,,Coal 12.2%,,12.3,percent,12.2,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_119_p17.csv,geothermal
,"Geothermal 
14.1%",,"Geothermal 
13.4%",,14.1,percent,13.4,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_119_p17.csv,geothermal
