country,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
Indonesia,"14,975","16,673","17,988","19,663","23,285","26,305",14975.0,16673.0,17988.0,19663.0,23285.0,26305.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_072_p63.csv,general
Australia (a),-,306,"1,310","1,401","1,249",711,,306.0,1310.0,1401.0,1249.0,711.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_072_p63.csv,general
China (b),-,-,-,-,96,1,,,,,96.0,1.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_072_p63.csv,general
Vietnam,191.41,168.07,270.19,219.38,303.26,181.70,191.41,168.07,270.19,219.38,303.26,181.7,2024_philippine_energy_situationer_and_key_energy_statistics_table_072_p63.csv,general
Others**,15,132,462,984,"1,368",494,15.0,132.0,462.0,984.0,1368.0,494.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_072_p63.csv,general
Total,"15,182","17,279","20,030","22,268","26,301","27,692",15182.0,17279.0,20030.0,22268.0,26301.0,27692.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_072_p63.csv,general
