source,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Middle East,"47,481","43,931",-7.5%,47481.0,43931.0,-7.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
Saudi Arabia,"24,102","23,340",-3.2%,24102.0,23340.0,-3.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
Iraq,"5,976","6,060",1.4%,5976.0,6060.0,1.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
Kuwait,798,-,,798.0,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
UAE,"14,597","14,020",-4.0%,14597.0,14020.0,-4.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
Qatar,999,510,-48.9%,999.0,510.0,-48.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
Oman,"1,009",-,,1009.0,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
Malaysia,-,306,,,306.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
Others*,-,"1,130",,,1130.0,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
Total,"47,481","45,366",-4.5%,47481.0,45366.0,-4.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_016_p19.csv,general
