nan,actual_per_du_per_province,rate,nan_numeric,actual_per_du_per_province_numeric,rate_numeric,rate_unit,source_pdf,detected_category
"791,320","158,990",83.3%,791320.0,158990.0,83.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_114_p52.csv,general
"1,198,767","82,671",93.5%,1198767.0,82671.0,93.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_114_p52.csv,general
"1,319,870","159,325",89.2%,1319870.0,159325.0,89.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_114_p52.csv,general
"985,488","157,400",86.2%,985488.0,157400.0,86.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_114_p52.csv,general
"769,643","28,739",96.4%,769643.0,28739.0,96.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_114_p52.csv,general
"373,734","491,651",43.2%,373734.0,491651.0,43.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_114_p52.csv,general
"5,438,822","1,078,776",83.4%,5438822.0,1078776.0,83.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_114_p52.csv,general
"27,895,977","1,545,441",94.8%,27895977.0,1545441.0,94.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_114_p52.csv,general
