2023_2024,unnamed_1,2023_2024_numeric,2023_2024_unit,source_pdf,detected_category
"0.76 0.77
0.73
0.72",,,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_124_p27.csv,general
"tCO2e/Php 100K
tCO2e/MWh
tCO2e/TOE
tCO2e/person
GDP
Electricity
TPES
Generation
GHG Intensity
Per Capita",,2100222.0,megawatt_hours,2024_philippine_energy_situationer_and_key_energy_statistics_table_124_p27.csv,general
