in_mb,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Source,GR,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
Middle East,-7.5%,-7.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
Saudi Arabia,-3.2%,-3.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
Iraq,1.4%,1.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
Kuwait,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
UAE,-4.0%,-4.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
Qatar,-48.9%,-48.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
Oman,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
Malaysia,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
Others*,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
Total,-4.5%,-4.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
"*
i",,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_086_p19.csv,general
