unnamed_0,percent_share_of_the_generationeration_mix,unnamed_0_numeric,unnamed_0_unit,percent_share_of_the_generationeration_mix_numeric,percent_share_of_the_generationeration_mix_unit,source_pdf,detected_category
,9.1%,,percent,9.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_192_p16.csv,general
62.5%,14.1%,62.5,percent,14.1,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_192_p16.csv,general
