semirara,0_0,0_0_numeric,0_0_unit,source_pdf,detected_category
Zamboanga,1782.8%,1782.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_097_p32.csv,general
Cebu,11.4%,11.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_097_p32.csv,general
"Albay, Bicol",-38.0%,-38.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_097_p32.csv,general
Negros,160.1%,160.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_097_p32.csv,general
South Cotabato,272.3%,272.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_097_p32.csv,general
Small-scale Mines,25.9%,25.9,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_097_p32.csv,general
Total Production,4.3%,4.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_097_p32.csv,general
Run of Mine (MMT),7.0%,7.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_097_p32.csv,general
