unnamed_0,2020,2021,2022,2023,2024,2020_numeric,2021_numeric,2022_numeric,2023_numeric,2024_numeric,source_pdf,detected_category
Installed Generating Capacity (MW),"1,019","1,317","1,530","1,653","2,710",1019.0,1317.0,1530.0,1653.0,2710.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_088_p68.csv,general
Dependable Generating Capacity (MW),817,"1,034","1,150","1,249","2,154",817.0,1034.0,1150.0,1249.0,2154.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_088_p68.csv,general
Electricity Generation (GWh),"1,373","1,470","1,822","2,544","3,811",1373.0,1470.0,1822.0,2544.0,3811.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_088_p68.csv,general
