unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Power Generation,"39,573","42,446",7.3%,39573.0,42446.0,7.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_034_p37.csv,general
Cement,"1,716","2,295",33.7%,1716.0,2295.0,33.7,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_034_p37.csv,general
Industrial/Direct Uses*,"2,200","1,930",-12.3%,2200.0,1930.0,-12.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_034_p37.csv,general
TOTAL,"43,490","46,670",7.3%,43490.0,46670.0,7.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_034_p37.csv,general
