region,potential_hhs,served_hhs,unserved_hhs_actual_per_du_per_province,electrification_rate,potential_hhs_numeric,served_hhs_numeric,unserved_hhs_actual_per_du_per_province_numeric,electrification_rate_numeric,electrification_rate_unit,source_pdf,detected_category
IX,"950,310","791,320","158,990",83.3%,950310.0,791320.0,158990.0,83.3,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_053_p52.csv,general
X,"1,281,438","1,198,767","82,671",93.5%,1281438.0,1198767.0,82671.0,93.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_053_p52.csv,general
XI,"1,479,195","1,319,870","159,325",89.2%,1479195.0,1319870.0,159325.0,89.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_053_p52.csv,general
XII,"1,142,888","985,488","157,400",86.2%,1142888.0,985488.0,157400.0,86.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_053_p52.csv,general
CARAGA,"798,382","769,643","28,739",96.4%,798382.0,769643.0,28739.0,96.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_053_p52.csv,general
BARMM,"865,385","373,734","491,651",43.2%,865385.0,373734.0,491651.0,43.2,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_053_p52.csv,general
MINDANAO,"6,517,598","5,438,822","1,078,776",83.4%,6517598.0,5438822.0,1078776.0,83.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_053_p52.csv,general
PHILIPPINES,"29,441,418","27,895,977","1,545,441",94.8%,29441418.0,27895977.0,1545441.0,94.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_053_p52.csv,general
