unnamed_0,2014,2015,2016,2017,2018,2019,2014_numeric,2015_numeric,2016_numeric,2017_numeric,2018_numeric,2019_numeric,source_pdf,detected_category
Power Generation,"15,587","17,554","19,386","23,327","26,101","28,654",15587.0,17554.0,19386.0,23327.0,26101.0,28654.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_076_p65.csv,general
Cement,"3,203","3,348","3,893","4,423","2,848","2,754",3203.0,3348.0,3893.0,4423.0,2848.0,2754.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_076_p65.csv,general
Industrial/Direct Uses*,"1,372","1,104","1,515","1,569","2,027","1,714",1372.0,1104.0,1515.0,1569.0,2027.0,1714.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_076_p65.csv,general
TOTAL,"20,163","22,006","24,794","29,320","30,976","33,122",20163.0,22006.0,24794.0,29320.0,30976.0,33122.0,2024_philippine_energy_situationer_and_key_energy_statistics_table_076_p65.csv,general
