3_8,3_8_numeric,3_8_unit,source_pdf,detected_category
48.6%,48.6,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_003_p10.csv,general
46.5%,46.5,percent,2024_philippine_energy_situationer_and_key_energy_statistics_table_003_p10.csv,general
