in_mmt_at_10_000_btu_lb,unnamed_1,unnamed_1_numeric,unnamed_1_unit,source_pdf,detected_category
Country,GR,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_101_p36.csv,general
Brunei,-32.6%,-32.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_101_p36.csv,general
China,45.1%,45.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_101_p36.csv,general
India,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_101_p36.csv,general
Japan,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_101_p36.csv,general
South Korea,-69.6%,-69.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_101_p36.csv,general
Others*,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_101_p36.csv,general
Total,4.8%,4.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_101_p36.csv,general
