source,gr,gr_numeric,gr_unit,source_pdf,detected_category
OTHER ASIA,21.5%,21.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_090_p23.csv,general
China,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_090_p23.csv,general
India,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_090_p23.csv,general
Japan,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_090_p23.csv,general
Russia,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_090_p23.csv,general
South Korea,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_090_p23.csv,general
Taiwan,,,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_090_p23.csv,general
OTHERS*,-61.0%,-61.0,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_090_p23.csv,general
Total,4.6%,4.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_090_p23.csv,general
