gasoline,5_8,5_8_numeric,5_8_unit,source_pdf,detected_category
Diesel,5.5%,5.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_094_p28.csv,oil
Fuel Oil,-4.6%,-4.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_094_p28.csv,oil
Aviation Fuel,6.6%,6.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_094_p28.csv,oil
LPG,2.4%,2.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_094_p28.csv,oil
Kerosene,-10.6%,-10.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_094_p28.csv,oil
Biodiesel,5.4%,5.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_094_p28.csv,oil
Bioethanol,5.6%,5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_094_p28.csv,oil
Others*,9.5%,9.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_094_p28.csv,oil
Total,5.1%,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_094_p28.csv,oil
