unnamed_0,2023,2024,gr,2023_numeric,2024_numeric,gr_numeric,gr_unit,source_pdf,detected_category
Gasoline,"45,448","48,098",5.8%,45448.0,48098.0,5.8,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
Diesel,"68,497","72,236",5.5%,68497.0,72236.0,5.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
Fuel Oil,"6,924","6,605",-4.6%,6924.0,6605.0,-4.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
Aviation Fuel,"15,824","16,871",6.6%,15824.0,16871.0,6.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
LPG,"21,726","22,237",2.4%,21726.0,22237.0,2.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
Kerosene,371,332,-10.6%,371.0,332.0,-10.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
Biodiesel,"1,393","1,468",5.4%,1393.0,1468.0,5.4,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
Bioethanol,"4,919","5,197",5.6%,4919.0,5197.0,5.6,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
Others*,"10,477","11,471",9.5%,10477.0,11471.0,9.5,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
Total,"175,580","184,515",5.1%,175580.0,184515.0,5.1,percent,final_11_20_25_doe_key_energy_stat_pocket_size_2024_table_025_p28.csv,oil
