naphtha,asphalt,other_petroleum_products,hydro,geothermal,solar,wind,biomass,biodiesel,bioethanol,electricity,total,biodiesel_numeric,electricity_numeric,total_numeric,source_pdf,detected_category
-,-,-,-,-,-,-,-,0.83,-,104.98,263.86,0.83,104.98,263.86,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.79,-,87.91,215.69,0.79,87.91,215.69,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.05,-,17.06,48.17,0.05,17.06,48.17,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,-,-,-,-,,,,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.83,-,104.98,263.86,0.83,104.98,263.86,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.14,-,7.79,65.17,0.14,7.79,65.17,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.57,-,32.15,991.20,0.57,32.15,991.2,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.03,-,6.29,19.72,0.03,6.29,19.72,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.83,-,104.98,263.86,0.83,104.98,263.86,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.30,-,220.26,568.02,0.3,220.26,568.02,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,1.40,-,904.44,"1,015.08",1.4,904.44,1015.08,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,1.40,-,904.44,"1,015.08",1.4,904.44,1015.08,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,11.12,0.72,-,55.35,348.01,0.72,55.35,348.01,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,11.12,0.69,-,54.65,328.73,0.69,54.65,328.73,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.03,-,0.70,19.28,0.03,0.7,19.28,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,7.83,-,112.94,566.80,7.83,112.94,566.8,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,6.93,-,274.85,639.93,6.93,274.85,639.93,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,120.58,437.14,13.21,"12,880.05",120.58,13.21,12880.05,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.04,-,9.76,11.93,0.04,9.76,11.93,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,114.25,437.14,3.45,"11,593.71",114.25,3.45,11593.71,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,6.29,-,-,885.78,6.29,,885.78,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,-,-,-,388.63,,,388.63,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,"6,007.79",-,-,"3,178.67","10,536.01",,3178.67,10536.01,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,334.12,29.19,-,"2,255.86","4,736.50",29.19,2255.86,4736.5,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,2.63,-,254.35,401.57,2.63,254.35,401.57,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.63,-,188.19,229.75,0.63,188.19,229.75,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.59,-,118.27,157.91,0.59,118.27,157.91,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,0.04,-,59.94,61.86,0.04,59.94,61.86,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,-,-,9.98,9.98,,9.98,9.98,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,-,-,0.97,0.97,,0.97,0.97,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
-,-,-,-,-,-,-,-,2.01,-,65.19,170.84,2.01,65.19,170.84,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
852.26,112.55,351.79,-,-,-,-,-,-,-,-,"1,396.67",,,1396.67,2024_philippine_energy_situationer_and_key_energy_statistics_table_029_p35.csv,oil
